match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
85853,2025-04-09,Train,4,Rare Atom,Falcons,Falcons,36,5,31,31,0,0,0.0,0.5,0.375,0.3333333333333333,0,train,train
85856,2025-04-09,Mirage,3,Aurora,Betclic,Aurora,6,51,-45,45,0,0,0.5714285714285714,0.5,0.5,0.6666666666666666,1,train,train
85855,2025-04-09,Mirage,3,FURIA,The MongolZ,The MongolZ,10,3,7,7,0,0,1.0,0.5,0.42857142857142855,0.2,0,train,test
85855,2025-04-09,Nuke,4,FURIA,The MongolZ,The MongolZ,10,3,7,7,1,0,0.5,0.0,0.375,0.3333333333333333,0,train,test
85851,2025-04-09,Ancient,3,GamerLegion,Virtus.pro,GamerLegion,16,18,-2,2,0,0,0.5,0.0,0.0,0.6666666666666666,1,train,train
85856,2025-04-09,Anubis,4,Aurora,Betclic,Aurora,6,51,-45,45,1,0,0.75,0.5,0.6,0.5714285714285714,1,test,train
85851,2025-04-09,Mirage,4,GamerLegion,Virtus.pro,GamerLegion,16,18,-2,2,1,0,0.0,0.5,0.3333333333333333,0.5714285714285714,1,train,train
85858,2025-04-10,Ancient,4,Betclic,FaZe,FaZe,51,12,39,39,1,0,1.0,0.5,0.5,0.6,0,test,test
85859,2025-04-10,Dust2,4,Falcons,The MongolZ,Falcons,5,3,2,2,1,0,0.0,0.5,0.42857142857142855,0.42857142857142855,1,train,train
85859,2025-04-10,Mirage,3,Falcons,The MongolZ,The MongolZ,5,3,2,2,0,0,0.5,1.0,0.5,0.375,0,train,train
85858,2025-04-10,Dust2,3,Betclic,FaZe,FaZe,51,12,39,39,0,0,0.0,1.0,0.4444444444444444,0.6666666666666666,0,train,test
85859,2025-04-10,Ancient,7,Falcons,The MongolZ,Falcons,5,3,2,2,0,1,0.5,0.5,0.4444444444444444,0.4444444444444444,1,train,train
85857,2025-04-10,Train,4,Astralis,Virtus.pro,Virtus.pro,11,18,-7,7,1,0,1.0,0.5,0.375,0.5,0,train,train
85857,2025-04-10,Dust2,3,Astralis,Virtus.pro,Virtus.pro,11,18,-7,7,0,0,0.0,1.0,0.3333333333333333,0.5555555555555556,0,train,train
85862,2025-04-11,Train,4,Complexity,Aurora,Complexity,51,6,45,45,1,0,1.0,1.0,0.6666666666666666,0.7,1,val,val
85863,2025-04-11,Mirage,4,G2,Virtus.pro,G2,15,18,-3,3,1,0,1.0,0.3333333333333333,0.6666666666666666,0.6,1,test,train
85860,2025-04-11,Ancient,7,GamerLegion,Falcons,Falcons,16,5,11,11,0,1,1.0,1.0,0.5,0.5,0,val,train
